date,currency_code,local_price,dollar_ex,dollar_price
01/04/2000,ARS,2.5,1,2.5
01/04/2000,AUD,2.59,1,2.59
01/04/2000,BRL,2.95,1,2.95
01/04/2000,GBP,1.9,1,1.9
01/04/2000,CAD,2.85,1,2.85
01/04/2000,CLP,1260,514,2.45
01/04/2000,CNY,9.9,8,1.24
01/04/2000,CZK,54.37,39,1.39
01/04/2000,DKK,24.75,8,3.09
01/04/2000,EUR,2.56,1,2.56
01/04/2000,HKD,10.2,7,1.46
01/04/2000,HUF,339,279,1.22
01/04/2000,IDR,14500,7945,1.83
01/04/2000,ILS,14.5,4,3.62
01/04/2000,JPY,294,106,2.77
01/04/2000,MYR,4.52,3,1.51
01/04/2000,MXN,20.9,9,2.32
01/04/2000,NZD,3.4,2,1.7
01/04/2000,PLN,5.5,4,1.38
01/04/2000,RUB,39.5,28,1.41
01/04/2000,SGD,3.2,1,3.2
01/04/2000,ZAR,9,6,1.5
01/04/2000,KRW,3000,1108,2.71
01/04/2000,SEK,24,8,3
01/04/2000,CHF,5.9,1,5.9
01/04/2000,TWD,70,30,2.33
01/04/2000,THB,55,38,1.45
01/04/2000,USD,2.24,1,2.24
01/04/2001,ARS,2.5,1,2.5
01/04/2001,AUD,3,1,3
01/04/2001,BRL,3.6,2,1.8
01/04/2001,GBP,1.99,1,1.99
01/04/2001,CAD,3.33,1,3.33
01/04/2001,CLP,1260,601,2.1
01/04/2001,CNY,9.9,8,1.24
01/04/2001,CZK,56,39,1.44
01/04/2001,DKK,24.75,8,3.09
01/04/2001,EUR,2.57,1,2.57
01/04/2001,HKD,10.7,7,1.53
01/04/2001,HUF,399,303,1.32
01/04/2001,IDR,14700,10855,1.35
01/04/2001,JPY,294,124,2.37
01/04/2001,MYR,4.52,3,1.51
01/04/2001,MXN,21.9,9,2.43
01/04/2001,NZD,3.6,2,1.8
01/04/2001,PHP,59,50,1.18
01/04/2001,PLN,5.9,4,1.48
01/04/2001,RUB,35,28,1.25
01/04/2001,SGD,3.3,1,3.3
01/04/2001,ZAR,9.7,8,1.21
01/04/2001,KRW,3000,1325,2.26
01/04/2001,SEK,24,10,2.4
01/04/2001,CHF,6.3,1,6.3
01/04/2001,TWD,70,32,2.19
01/04/2001,THB,55,45,1.22
01/04/2001,USD,2.24,1,2.24
01/04/2002,ARS,2.5,3,0.83
01/04/2002,AUD,3,1,3
01/04/2002,BRL,3.6,2,1.8
01/04/2002,GBP,1.99,1,1.99
01/04/2002,CAD,3.33,1,3.33
01/04/2002,CLP,1400,655,2.14
01/04/2002,CNY,10.5,8,1.31
01/04/2002,CZK,56.28,34,1.66
01/04/2002,DKK,24.75,8,3.09
01/04/2002,EUR,2.67,1,2.67
01/04/2002,HKD,11.2,8,1.4
01/04/2002,HUF,459,272,1.69
01/04/2002,IDR,16000,9430,1.7
01/04/2002,ILS,12,4,3
01/04/2002,JPY,262,130,2.02
01/04/2002,MYR,5.04,3,1.68
01/04/2002,MXN,21.9,9,2.43
01/04/2002,NZD,3.6,2,1.8
01/04/2002,NOK,35,8,4.38
01/04/2002,PEN,8.5,3,2.83
01/04/2002,PHP,65,51,1.27
01/04/2002,PLN,5.9,4,1.48
01/04/2002,RUB,39,31,1.26
01/04/2002,SGD,3.3,1,3.3
01/04/2002,ZAR,9.7,10,0.97
01/04/2002,KRW,3100,1304,2.38
01/04/2002,SEK,26,10,2.6
01/04/2002,CHF,6.3,1,6.3
01/04/2002,TWD,70,34,2.06
01/04/2002,THB,55,43,1.28
01/04/2002,TRY,4000000,1324500,3.02
01/04/2002,USD,2.35,1,2.35
01/04/2002,VEF,2500,857,2.92
01/04/2003,ARS,4.1,2,2.05
01/04/2003,AUD,3,1,3
01/04/2003,BRL,4.55,3,1.52
01/04/2003,GBP,1.99,1,1.99
01/04/2003,CAD,3.2,1,3.2
01/04/2003,CLP,1400,716,1.96
01/04/2003,CNY,9.9,8,1.24
01/04/2003,CZK,56.57,28,2.02
01/04/2003,DKK,27.75,6,4.62
01/04/2003,EGP,8,5,1.6
01/04/2003,EUR,2.71,1,2.71
01/04/2003,HKD,11.5,7,1.64
01/04/2003,HUF,490,224,2.19
01/04/2003,IDR,16100,8740,1.84
01/04/2003,JPY,262,120,2.18
01/04/2003,MYR,5.04,3,1.68
01/04/2003,MXN,23,10,2.3
01/04/2003,NZD,3.95,1,3.95
01/04/2003,PEN,7.9,3,2.63
01/04/2003,PHP,65,52,1.25
01/04/2003,PLN,6.3,3,2.1
01/04/2003,RUB,41,31,1.32
01/04/2003,SGD,3.3,1,3.3
01/04/2003,ZAR,13.95,7,1.99
01/04/2003,KRW,3300,1220,2.7
01/04/2003,SEK,30,8,3.75
01/04/2003,CHF,6.3,1,6.3
01/04/2003,TWD,70,34,2.06
01/04/2003,THB,59,42,1.4
01/04/2003,TRY,3750000,1600500,2.34
01/04/2003,USD,2.46,1,2.46
01/04/2003,VEF,3700,1598,2.32
01/05/2004,ARS,4.36,2,2.18
01/05/2004,AUD,3.25,1,3.25
01/05/2004,BRL,5.4,3,1.8
01/05/2004,GBP,1.88,1,1.88
01/05/2004,CAD,3.19,1,3.19
01/05/2004,CLP,1400,641,2.18
01/05/2004,CNY,10.4,8,1.3
01/05/2004,COP,6500,2769,2.35
01/05/2004,CRC,1130,433,2.61
01/05/2004,CZK,56.42,26,2.17
01/05/2004,DKK,27.75,6,4.62
01/05/2004,EGP,10,6,1.67
01/05/2004,EUR,2.74,1,2.74
01/05/2004,HKD,12,7,1.71
01/05/2004,HUF,530,211,2.51
01/05/2004,IDR,16100,9120,1.77
01/05/2004,JPY,262,113,2.32
01/05/2004,MYR,5.04,3,1.68
01/05/2004,MXN,24,11,2.18
01/05/2004,NZD,4.35,1,4.35
01/05/2004,NOK,35.5,6,5.92
01/05/2004,PKR,110,57,1.93
01/05/2004,PEN,8.99,3,3
01/05/2004,PHP,69,55,1.25
01/05/2004,PLN,6.3,3,2.1
01/05/2004,RUB,42,29,1.45
01/05/2004,SAR,2.4,3,0.8
01/05/2004,SGD,3.3,1,3.3
01/05/2004,ZAR,12.4,6,2.07
01/05/2004,KRW,3200,1177,2.72
01/05/2004,LKR,140,99,1.41
01/05/2004,SEK,30,7,4.29
01/05/2004,CHF,6.3,1,6.3
